0x41000001,HT_TriggerType_Undefined
0x41000002,HT_TriggerType_Pickup
0x41000003,HT_TriggerType_StartPoint
0x41000004,HT_TriggerType_Grunt
0x41000005,HT_TriggerType_cog
0x41000006,HT_TriggerType_v8
0x41000007,HT_TriggerType_fodder
0x41000008,HT_TriggerType_plaform
0x41000009,HT_TriggerType_weightgear
0x4100000a,HT_TriggerType_pathplatform
0x4100000b,HT_TriggerType_Player
0x4100000c,HT_TriggerType_weightform
0x4100000d,HT_TriggerType_launchform
0x4100000e,HT_TriggerType_Sparx
0x4100000f,HT_TriggerType_Breath
0x41000010,HT_TriggerType_Switch
0x41000011,HT_TriggerType_Door
0x41000012,HT_TriggerType_MoneyBags
0x41000013,HT_TriggerType_Gnorc_Sentry
0x41000016,HT_TriggerType_GemStealer
0x41000017,HT_TriggerType_Professor
0x41000018,HT_TriggerType_HunterNPC
0x41000019,HT_TriggerType_Gnorc_Gang
0x4100001a,HT_TriggerType_PoleGrab
0x4100001c,HT_TriggerType_boiler
0x4100001d,HT_TriggerType_WindUpPlatfrom
0x4100001e,HT_TriggerType_WinderCrank
0x4100001f,HT_TriggerType_LightXtal
0x41000020,HT_TriggerType_DarkXtal
0x41000021,HT_TriggerType_SteamBuggy
0x41000022,HT_TriggerType_SteamBuggy_Floor
0x41000023,HT_TriggerType_Script
0x41000024,HT_TriggerType_MorphEnv
0x41000025,HT_TriggerType_Chest_Treasure
0x41000026,HT_TriggerType_Chest_Metal
0x41000027,HT_TriggerType_Chest_Strong
0x41000028,HT_TriggerType_Chest_Locked
0x41000029,HT_TriggerType_Chest_Explosive
0x4100002a,HT_TriggerType_Chest_HornDive
0x4100002b,HT_TriggerType_Chest
0x4100002f,HT_TriggerType_Mechanic
0x41000030,HT_TriggerType_GunTurret
0x41000031,HT_TriggerType_MorphEnvControl
0x41000032,HT_TriggerType_Projectile
0x41000033,HT_TriggerType_EggThief
0x41000034,HT_TriggerType_NPC_Talker
0x41000035,HT_TriggerType_FlameBomb
0x41000036,HT_TriggerType_DragonEgg
0x41000037,HT_TriggerType_Test_AB
0x41000038,HT_TriggerType_CollisionPlane
0x41000039,HT_TriggerType_GenericGate
0x4100003a,HT_TriggerType_ShopPad
0x4100003b,HT_TriggerType_Vase
0x4100003c,HT_TriggerType_CrackWall
0x4100003d,HT_TriggerType_IceBomb
0x4100003e,HT_TriggerType_Breath_Ice
0x4100003f,HT_TriggerType_Generator
0x41000040,HT_TriggerType_Jupiter
0x41000041,HT_TriggerType_Player_Spyro
0x41000042,HT_TriggerType_Player_Hunter
0x41000043,HT_TriggerType_Buzzard
0x41000044,HT_TriggerType_HunterArrow
0x41000045,HT_TriggerType_Bird_Circling
0x41000046,HT_TriggerType_Bird_Tracking
0x41000047,HT_TriggerType_Bird_Diving
0x41000048,HT_TriggerType_Player_Sparx
0x41000049,HT_TriggerType_Seeker
0x4100004a,HT_TriggerType_Cannon
0x4100004b,HT_TriggerType_ScriptPlatform
0x4100004c,HT_TriggerType_CannonShell
0x4100004d,HT_TriggerType_WaterSeesawPlatform
0x4100004e,HT_TriggerType_WaterSeesawBucket
0x4100004f,HT_TriggerType_WaterSeesaw
0x41000050,HT_TriggerType_Mountain_Goat
0x41000051,HT_TriggerType_DestroyMe
0x41000052,HT_TriggerType_CrocoVile
0x41000053,HT_TriggerType_Thermal
0x41000054,HT_TriggerType_BallGadget
0x41000055,HT_TriggerType_PlayBall
0x41000056,HT_TriggerType_Pygmy
0x41000057,HT_TriggerType_ELFPortal
0x41000058,HT_TriggerType_Site
0x41000059,HT_TriggerType_ProjWater
0x4100005a,HT_TriggerType_CrossPlane
0x4100005b,HT_TriggerType_SwitchActivatedPlatform
0x4100005c,HT_TriggerType_WaterWheel
0x4100005d,HT_TriggerType_PopupDoodah
0x4100005e,HT_TriggerType_LillyPad
0x4100005f,HT_TriggerType_FallingIciclePlatform
0x41000060,HT_TriggerType_WaterWheelPoleGrabDriven
0x41000061,HT_TriggerType_WaterWheelPlatformDriven
0x41000062,HT_TriggerType_Piranha
0x41000063,HT_TriggerType_weight_switch
0x41000064,HT_TriggerType_WaterWheelPlatform
0x41000065,HT_TriggerType_ForceField
0x41000066,HT_TriggerType_GadgetPad
0x41000067,HT_TriggerType_WaterWheelWater
0x41000068,HT_TriggerType_Axe
0x41000069,HT_TriggerType_HaywireIcePlatform
0x4100006a,HT_TriggerType_TeeteringIcePlatform
0x4100006b,HT_TriggerType_Turret
0x4100006c,HT_TriggerType_NastyFallingIcicle
0x4100006d,HT_TriggerType_Shark
0x4100006e,HT_TriggerType_BirdBomb
0x4100006f,HT_TriggerType_RisingBeachPlatform
0x41000070,HT_TriggerType_Archer_Arrow
0x41000071,HT_TriggerType_LizHard
0x41000072,HT_TriggerType_LizHard_Tongue
0x41000073,HT_TriggerType_SpikeTrap
0x41000074,HT_TriggerType_PufferFish
0x41000075,HT_TriggerType_Bonerang
0x41000076,HT_TriggerType_WaterDrops
0x41000077,HT_TriggerType_WaterSurface
0x41000078,HT_TriggerType_Monitor
0x41000079,HT_TriggerType_R1C_Dummy_Cannon
0x4100007a,HT_TriggerType_R1C_CannonPillar
0x4100007b,HT_TriggerType_MiniGameEnemyWave
0x4100007c,HT_TriggerType_LizHard_Controller
0x4100007d,HT_TriggerType_Supplies_MG1A
0x4100007e,HT_TriggerType_SwampPathPlatform
0x4100007f,HT_TriggerType_Platform_Controller
0x41000080,HT_TriggerType_SinkPlatform
0x41000081,HT_TriggerType_Sequencer
0x41000082,HT_TriggerType_Critter
0x41000084,HT_TriggerType_R1C_Archer
0x41000086,HT_TriggerType_Player_BallGadget
0x41000087,HT_TriggerType_Player_Blinky
0x41000089,HT_TriggerType_CameraSpecial
0x4100008a,HT_TriggerType_Camera_PathDrag
0x4100008b,HT_TriggerType_Camera_BallGadget
0x4100008c,HT_TriggerType_Camera_Follow
0x4100008e,HT_TriggerType_CrocGate_Sentry
0x4100008f,HT_TriggerType_Blinky
0x41000090,HT_TriggerType_GnastyGnorc
0x41000091,HT_TriggerType_Player_SgtBird
0x41000092,HT_TriggerType_BirdGate
0x41000093,HT_TriggerType_Mammoth_Adult
0x41000094,HT_TriggerType_Mammoth_Baby
0x41000095,HT_TriggerType_Snowball_Projectile
0x41000096,HT_TriggerType_Bomb
0x41000097,HT_TriggerType_Gems
0x41000099,HT_TriggerType_MapHeight
0x4100009a,HT_TriggerType_conveyor
0x4100009b,HT_TriggerType_wallpiston
0x4100009c,HT_TriggerType_Eskimole
0x4100009d,HT_TriggerType_R5B_WallPiston
0x4100009e,HT_TriggerType_SnapperCrab
0x4100009f,HT_TriggerType_WaterDrivenWheel
0x410000a0,HT_TriggerType_ShockWave
0x410000a1,HT_TriggerType_SlidingWallKick
0x410000a2,HT_TriggerType_R5B_SlidingWallKick
0x410000a3,HT_TriggerType_R5B_WWSlidingWallKick
0x410000a4,HT_TriggerType_BlinkyBullet
0x410000a5,HT_TriggerType_Stamper
0x410000a6,HT_TriggerType_R5B_Stamper
0x410000a7,HT_TriggerType_R5B_WWRising_Platform
0x410000a8,HT_TriggerType_BlinkyBomb
0x410000a9,HT_TriggerType_R5B_Stamper2
0x410000aa,HT_TriggerType_Fluff_Zoned
0x410000ac,HT_TriggerType_Fluff_Pathed
0x410000ad,HT_TriggerType_Kickwheel
0x410000ae,HT_TriggerType_PressureGauge
0x410000b0,HT_TriggerType_PoweredPlatform
0x410000b1,HT_TriggerType_R5B_Flamer
0x410000b2,HT_TriggerType_Flamer
0x410000b3,HT_TriggerType_FlamerZone
0x410000b4,HT_TriggerType_R5B_Nut
0x410000b5,HT_TriggerType_R5B_NutSource
0x410000b7,HT_TriggerType_BabyTurtle_MG2_Spy
0x410000b8,HT_TriggerType_TurtleNest_MG2_Spy
0x410000b9,HT_TriggerType_TurtleHunterCrab_MG2_Spy
0x410000ba,HT_TriggerType_PipeCog
0x410000bb,HT_TriggerType_R5A_PipePuzzle
0x410000bc,HT_TriggerType_CannonOnPedestal
0x410000bd,HT_TriggerType_TurtleHunterBird_MG2_Spy
0x410000be,HT_TriggerType_SoundBank
0x410000bf,HT_TriggerType_LiftPlatform
0x410000c0,HT_TriggerType_Generator_MG2_Spy
0x410000c1,HT_TriggerType_SeeSawPlatform
0x410000c2,HT_TriggerType_EndGate
0x410000c3,HT_TriggerType_PoleSpinPole
0x410000c4,HT_TriggerType_SnowballFalling
0x410000c5,HT_TriggerType_SnowballOscillating
0x410000c6,HT_TriggerType_Hornet_MG1_Spx
0x410000c8,HT_TriggerType_PoleSpinController
0x410000c9,HT_TriggerType_FlippingPlatform
0x410000ca,HT_TriggerType_LavaBalls
0x410000cb,HT_TriggerType_StaticEnemy_MG1_Spx
0x410000cc,HT_TriggerType_Rock
0x410000cd,HT_TriggerType_Tracking_Arrow
0x410000d0,HT_TriggerType_ElecBolt
