section;hashcode;sound_hashcode;text
08010014;43003ee3;2d7013da;All security details check in immediately!
08010014;43003ee4;2d7013da;All techical staff to operational positions!
08010014;43003ee5;2d7013da;SaberSense monitoring systems now fully activated!
08010014;43003ee6;2d7013da;Attention: Intermittent power surges should be expected over the next 60 minutes.
08010014;43003ee7;2d7013da;Please report any unusual system activity to Sabersense launch control.
08010014;43003ee8;2d7013da;We regret that due to operational necessities, there will be no staff buffet tonight.
08010014;43003ee9;2d7013da;Until further notice, only use the main mansion entrance to leave the building.
08010014;43003eea;2d7013da;The break rotation has been cancelled for this evening. All staff remain at your post.
08010014;43003eeb;2d7013da;Please report any monitor failure to the A/V systems manager.
08010014;43003eec;2d7013da;IT regrets that perosnal access to any terminals will not be permitted this evening.
08010014;43003eed;2d7013da;Will Captain Clarke of Security please report in immediately.
08010014;43003eee;2d7013da;Due to tonight's launch of Sabersense, all teams must file their daily reprot before leaving the mansion.
08010014;43003eef;2d7013da;Will the head of press information contact the launch office immediately?
08010014;43003ef0;2d7013da;Warning: due to secuirty, the east wing of the mansion is now a restricted area.
08010014;43003ef1;2d7013da;Please check your PDAs for current security status in the mansion.
08010014;43003ef2;2d7013da;All teams should now consult the security requirements for Code Orange.
08010014;43003ef3;2d7013da;Until further notice, the Saberling display room is off limits.
08010014;43003ef4;2d7013da;Will Mr. Kite please report to launch control immediately.
08010014;43003ef5;2d7013da;All personal cell phone use should now be terminated.
08010014;43003ef6;2d7013da;The gym and spa are now closed.
08010014;43003ef7;2d7013da;Security detail for sectors 3-5, please check in?
08010014;43003ef8;2d7013da;Reminder: No personal photography is permitted anywhere within the mansion.
08010014;43003ef9;2d7013da;All exterior security teams should now+H1634 be on luanch status.
08010014;43003efa;2d7013da;The main staircase is now closed.
08010014;43003efb;2d7013da;All kitchen staff--please stand by your stations.
08010014;43003efc;2d7013da;The media room is now off-limits to all mansion staff.
08010014;43003efd;2d7013da;Will the representatives from TV 7 News please check in with the luanch information manager?
08010014;43003efe;2d7013da;Coffee is available in the main lobby and outside the conference room.
08010014;43003eff;2d7013da;For anyone in the media room, if the music's over, turn out the lights.
08010014;43003f00;2d7013da;Attention: will the security team from sector 3 please report in?
08010014;43003f01;2d701c07;Assembly line failure nlow appears imminent. 
08010014;43003f02;2d701c08;Warning: a fatal malfucntion has now stopped the assembly line. Please begin a full system reboot. 
